#Table1
u,g,r,i,z,class,z1,zerr
19.48849,18.44004,17.63388,17.16121,16.88753,GALAXY,0.1839603,1.079818E-05
18.88625,18.08516,17.62922,17.25023,17.08855,GALAXY,0.0915924,7.195496E-06
18.99714,17.15825,16.36897,15.97133,15.66655,GALAXY,0.04683983,1.549033E-05
16.42795,14.6686,13.83648,13.40823,13.06231,GALAXY,0.03628897,7.101804E-06
19.27263,18.49205,18.03385,17.66272,17.67019,GALAXY,0.1874153,1.211199E-05
19.08479,17.13658,16.11115,15.66051,15.29357,GALAXY,0.1001398,2.398456E-05
19.42059,17.81537,17.26344,16.76646,16.54011,GALAXY,0.07490867,7.296776E-06
19.39535,17.56578,16.81181,16.43132,16.08668,GALAXY,0.06944076,1.334553E-05
18.855,17.41658,16.67452,16.24223,15.93166,GALAXY,0.05520602,1.164192E-05
17.471,16.13962,15.54773,15.21087,14.95411,GALAXY,0.03591563,1.265987E-05
18.26021,17.63851,17.05802,16.86623,16.2985,QSO,0.3494408,3.821878E-05
18.65383,18.47774,18.28554,18.18484,18.25602,QSO,1.423208,0.000282145
19.12481,18.75964,18.34361,17.97523,17.90591,QSO,0.1943718,4.291039E-05
18.3707,17.98075,18.01417,17.90618,17.9877,QSO,0.638676,7.852998E-05
18.2495,16.50534,15.68859,15.27542,14.95593,GALAXY,0.02860747,1.298842E-05
19.44197,19.26878,19.2056,18.85902,18.72498,QSO,1.959473,0.0003252639
19.38715,17.89266,17.37224,17.00719,16.83755,GALAXY,0.06812754,9.369141E-06
19.59834,19.06056,18.9098,18.91363,18.67182,QSO,2.331178,0.0002836952
19.58556,19.11889,18.47413,18.15169,17.86362,QSO,0.2503738,2.446797E-05
19.55679,17.48389,16.40174,15.93539,15.57298,GALAXY,0.1333969,2.435415E-05
19.43796,18.16222,17.5271,17.11626,16.91842,GALAXY,0.08244255,6.672546E-06
17.45348,16.37792,15.91729,15.65648,15.45118,GALAXY,0.03444587,8.548229E-06
19.57392,18.3621,17.72922,17.33718,17.15481,GALAXY,0.1121096,9.500135E-06
19.0766,17.56981,16.72623,16.28559,15.96391,GALAXY,0.1129748,1.900139E-05
19.26077,17.8846,17.3313,17.04627,16.81773,GALAXY,0.04518209,2.00765E-05
18.72501,17.44591,16.82934,16.45172,16.16091,GALAXY,0.03741569,7.404463E-06
19.01901,17.62795,16.82659,16.38525,16.09519,GALAXY,0.0894393,1.090835E-05
19.09903,17.76931,16.93315,16.48488,16.17003,GALAXY,0.1454464,1.7337E-05
18.5572,17.27188,16.60682,16.27258,16.07577,GALAXY,0.01553205,3.00096E-05
18.95194,17.74036,17.2259,16.951,16.74319,GALAXY,0.03758189,7.833524E-06
19.5875,17.95106,16.6753,16.20493,15.83278,GALAXY,0.2580875,5.171677E-05
19.2467,17.75445,17.17501,16.81369,16.56233,GALAXY,0.05647298,1.001847E-05
18.77596,17.41427,16.89998,16.57968,16.38832,GALAXY,0.04040131,1.285231E-05
17.20961,15.82131,15.1093,14.70267,14.38957,GALAXY,0.03719065,5.662167E-06
18.669,16.77364,15.86665,15.38386,14.95212,GALAXY,0.03291794,1.527136E-05
19.51705,17.78004,16.99895,16.61302,16.34326,GALAXY,0.0878267,2.907543E-05
19.4554,18.2791,17.7325,17.37445,17.28015,GALAXY,0.09724423,1.236654E-05
19.43314,18.35463,17.82023,17.47191,17.24262,GALAXY,0.1022548,8.329027E-06
19.01092,18.16971,17.84388,17.57323,17.49552,GALAXY,0.11409,4.313488E-06
19.5708,17.77229,16.83408,16.37952,16.01326,GALAXY,0.08260845,1.860288E-05
18.77219,17.75478,17.25756,16.90609,16.72733,GALAXY,0.1045437,7.431004E-06
19.06839,17.81342,17.48141,17.2264,17.18105,GALAXY,0.05390775,8.179418E-06
19.05604,17.93662,17.50424,17.23269,17.08486,GALAXY,0.05640553,7.399747E-06
19.33178,19.25618,18.83362,18.76511,18.7946,QSO,1.314223,0.0006543984
16.80277,14.94124,14.09684,13.66029,13.35627,GALAXY,0.03187764,1.04244E-05
19.58126,18.13049,17.39748,16.96959,16.68783,GALAXY,0.1027715,1.499388E-05
16.95423,15.4444,14.63868,14.2279,13.87918,GALAXY,0.03361017,1.103732E-05
18.2873,16.36376,15.46131,15.03503,14.70045,GALAXY,0.05836371,1.729265E-05
19.22918,17.10522,16.03433,15.52078,15.15076,GALAXY,0.1101653,2.362541E-05
18.56768,17.36547,16.79537,16.50295,16.24483,GALAXY,0.03868352,7.719702E-06
17.87649,16.66701,16.0649,15.69769,15.47055,GALAXY,0.09192497,7.59253E-06
18.32807,16.90401,16.22756,15.84922,15.6017,GALAXY,0.05497332,1.901525E-05
19.53489,17.77706,16.68057,16.19652,15.84166,GALAXY,0.17298,2.614449E-05
18.80301,17.67374,17.27074,17.03895,16.91035,GALAXY,0.05741844,1.173473E-05
19.5802,18.12156,17.39491,16.93417,16.68737,GALAXY,0.1253612,5.284473E-06
19.08323,18.14679,17.84285,17.66908,17.74056,GALAXY,0.1247994,5.948597E-06
17.29466,16.07505,15.98103,16.01915,21.55704,GALAXY,0.03228151,8.615535E-06
19.30682,17.3206,16.35139,15.87937,15.51949,GALAXY,0.05591104,1.13249E-05
19.19229,18.79525,18.66371,18.54386,18.41139,QSO,2.025719,0.001006422
19.44478,17.54176,16.52184,16.0347,15.62191,GALAXY,0.08740792,3.495363E-05
17.89558,16.65281,16.11633,15.81857,15.6536,GALAXY,0.04352435,1.013474E-05
19.42757,19.10145,18.98129,19.03938,18.82122,QSO,0.8077221,0.0001542854
19.58485,17.6874,16.84969,16.38858,16.04771,GALAXY,0.03620083,1.507348E-05
17.21977,16.31514,16.00021,15.86688,15.71307,GALAXY,0.01366648,5.758545E-06
18.15661,16.85558,16.183,15.84859,15.58693,GALAXY,0.04341494,1.688945E-05
19.25385,18.16815,17.61603,17.23583,17.0325,GALAXY,0.1054201,8.982726E-06
17.51888,15.85472,14.99505,14.53472,14.19055,GALAXY,0.06044166,1.606529E-05
17.50962,15.91138,15.08361,14.65988,14.30065,GALAXY,0.03122493,8.751646E-06
18.57504,16.76367,15.92766,15.54737,15.23663,GALAXY,0.04453154,9.857327E-06
19.14317,17.76094,17.14031,16.78122,16.52355,GALAXY,0.0397665,1.091059E-05
18.76816,17.81045,17.4491,17.28275,17.12365,GALAXY,0.03620661,5.632023E-06
16.60446,15.74227,15.29787,15.02184,14.81015,GALAXY,0.03357365,6.762345E-06
17.55622,16.2384,15.59404,15.21751,14.95977,GALAXY,0.05820031,7.946604E-06
19.07022,17.27673,16.43331,16.0387,15.71574,GALAXY,0.03733293,1.453289E-05
18.89322,17.78839,17.16511,16.72712,16.51502,GALAXY,0.09360106,5.952497E-06
19.24619,19.02888,18.64549,18.58321,18.25679,QSO,0.2763042,4.836711E-05
19.49977,17.61235,16.7796,16.36634,16.04624,GALAXY,0.04610121,1.589924E-05
19.17148,18.76075,18.69658,18.75631,18.58944,QSO,0.7100691,0.0001053713
18.5143,17.25373,16.74045,16.38139,16.16051,GALAXY,0.05480139,1.151397E-05
19.06425,18.83864,18.56255,18.63048,18.64842,QSO,1.032761,0.0002532243
18.71952,17.44971,16.84476,16.51115,16.25226,GALAXY,0.1043981,1.245129E-05
19.25242,17.79003,17.06342,16.69219,16.47803,GALAXY,0.1319618,2.229274E-05
19.49121,17.80794,17.02322,16.65312,16.36866,GALAXY,0.03476126,2.195947E-05
18.07776,16.69243,16.02023,15.65559,15.39819,GALAXY,0.0315746,1.05927E-05
19.25042,17.82603,17.16569,16.79605,16.54667,GALAXY,0.1013898,1.994993E-05
19.4614,19.07222,19.11556,19.21052,19.02668,QSO,0.7115897,9.831748E-05
19.21341,17.99875,17.39474,17.03852,16.78818,GALAXY,0.06738322,1.095191E-05
18.79431,17.29075,16.64696,16.30845,16.06237,GALAXY,0.03166198,1.297034E-05
17.432,16.61049,16.26888,16.10679,16.0484,GALAXY,0.01603515,6.285627E-06
17.77944,16.41833,15.79903,15.4592,15.17082,GALAXY,0.0361417,1.176529E-05
19.2633,18.06621,17.53423,17.2169,17.05169,GALAXY,0.04632113,7.094301E-06
18.25493,16.36713,15.51191,15.0999,14.78769,GALAXY,0.03988366,1.422264E-05
17.94932,16.66144,16.01012,15.6447,15.35807,GALAXY,0.03384995,1.530818E-05
17.67642,17.39172,17.12921,17.1503,17.07332,QSO,0.990811,0.0002040039
19.51509,18.25026,17.901,17.6574,17.56929,GALAXY,0.04424486,1.077017E-05
18.13689,16.19199,15.46663,15.06017,14.74276,GALAXY,0.03366669,1.307361E-05
19.43816,18.18769,17.75229,17.55329,17.40151,GALAXY,0.01250976,5.962663E-06
19.33431,17.81547,16.98541,16.57817,16.28974,GALAXY,0.1439345,3.230163E-05
18.82489,17.75954,17.44815,17.27002,17.19917,GALAXY,0.04771997,6.499978E-06
